work_type,t,shift,nurse_id,value
regular,5,Evening,17,0
overtime,5,Evening,18,0
regular,5,Evening,18,0
overtime,5,Evening,19,0
regular,5,Evening,19,1
overtime,5,Evening,20,0
regular,5,Evening,20,0
overtime,5,Evening,21,0
regular,5,Evening,21,0
overtime,5,Evening,22,0
regular,5,Evening,22,1
overtime,5,Evening,23,0
regular,5,Evening,23,1
overtime,5,Evening,24,0
regular,5,Evening,24,0
overtime,5,Evening,25,0
regular,5,Evening,25,0
overtime,5,Evening,26,0
regular,5,Evening,26,0
overtime,5,Evening,27,0
regular,5,Evening,27,0
overtime,5,Evening,28,0
regular,5,Evening,28,1
overtime,5,Evening,29,0
regular,5,Evening,29,1
overtime,5,Night,0,0
regular,5,Night,0,0
overtime,5,Night,1,0
regular,5,Night,1,1
overtime,5,Night,2,0
regular,5,Night,2,0
overtime,5,Night,3,0
regular,5,Night,3,1
overtime,5,Night,4,0
regular,5,Night,4,0
overtime,5,Night,5,0
regular,5,Night,5,1
overtime,5,Night,6,0
regular,5,Night,6,0
overtime,5,Night,7,0
regular,5,Night,7,0
overtime,5,Night,8,0
regular,5,Night,8,0
overtime,5,Night,9,0
regular,5,Night,9,1
overtime,5,Night,10,0
regular,5,Night,10,0
overtime,5,Night,11,0
regular,5,Night,11,0
overtime,5,Night,12,0
regular,5,Night,12,0
overtime,5,Night,13,0
regular,5,Night,13,0
overtime,5,Night,14,0
regular,5,Night,14,0
overtime,5,Night,15,0
